Qubit,T1(us),T2(us),Single qubit fidelity,Frequency(GHz),CZ fidelity
102,47.379,15.182,0.999,4.433,"102_101: 0.975
102_103: 0.97"
103,82.827,6.779,0.999,3.969,"103_102: 0.97
103_116: 0.96"
104,51.596,17.639,0.998,4.404,"104_91: 0
104_105: 0.988"
105,114.909,56.46,0.999,4.075,"105_104: 0.988
105_106: 0.987"
106,76.125,19.831,0.999,4.364,"106_105: 0.987
106_107: 0.97
106_119: 0.967"
107,85.015,35.985,0.999,4.011,"107_106: 0.97
107_108: 0.9"
108,26.183,10.984,0.999,4.404,"108_95: 0.94
108_107: 0.9
108_109: 0.94"
109,94.646,32.473,0.999,3.979,"109_108: 0.94
109_110: 0.98"
110,54.461,13.473,0.999,4.331,"110_109: 0.98
110_111: 0.985
110_123: 0.95"
111,0,0,1,3.992,"111_110: 0.985
111_112: 0.985"
112,38.421,18.386,1,4.488,"112_99: 0.967
112_111: 0.985
112_113: 0"
113,51.783,16.962,0.5,4.105,"113_112: 0
113_114: 0"
114,66.72,50.595,0.998,4.474,"114_113: 0
114_115: 0.9
114_127: 0.959"
115,86.838,37.144,0.999,4.182,"115_114: 0.9
115_116: 0.97"
116,84.33,80.659,0.999,4.563,"116_103: 0.96
116_115: 0.97"
117,97.815,24.532,0.997,4.011,"117_118: 0.8
117_130: 0.981"
118,90.671,37.377,0.999,4.119,"118_117: 0.8
118_119: 0"
119,100.603,53.978,0.999,3.945,"119_106: 0.967
119_118: 0
119_120: 0.97"
120,113.79,40.838,0.999,4.217,"120_119: 0.97
120_121: 0.95"
121,150.183,25.705,0.991,3.902,"121_120: 0.95
121_122: 0.9
121_134: 0"
122,79.267,3.487,0.999,4.45,"122_121: 0.9
122_123: 0.96"
123,36.414,68.655,0.999,3.992,"123_110: 0.95
123_122: 0.96
123_124: 0.9"
124,27.679,9.455,0.996,4.362,"124_123: 0.9
124_125: 0.9"
125,54.418,38.488,0.999,4.031,"125_124: 0.9
125_126: 0
125_138: 0.968"
126,28.06,24.676,0.993,4.232,"126_125: 0
126_127: 0.95"
127,84.012,40.747,0.999,3.937,"127_114: 0.959
127_126: 0.95
127_128: 0.9"
128,72.295,43.103,0.999,4.331,"128_127: 0.9
128_129: 0"
129,36.003,17.317,0.994,4.024,"129_128: 0
129_142: 0.98"
130,63.79,23.856,0.999,4.388,"130_117: 0.981
130_131: 0.991"
131,110.318,8.189,0.999,4.054,"131_130: 0.991
131_132: 0.97"
132,68.701,1.257,0.999,4.42,"132_131: 0.97
132_133: 0.94
132_145: 0.968"
133,15.453,25.187,0.998,4.066,"133_132: 0.94
133_134: 0.9"
134,82.853,13.679,0.999,4.418,"134_121: 0
134_133: 0.9
134_135: 0.96"
135,48.547,12.751,0.999,4.065,"135_134: 0.96
135_136: 0.68"
136,99.102,20.102,0.999,4.537,"136_135: 0.68
136_137: 0.96
136_149: 0.96"
137,56.213,18.405,0.999,4.091,"137_136: 0.96
137_138: 0.94"
138,27.885,19.835,0.999,4.441,"138_125: 0.968
138_137: 0.94
138_139: 0.97"
139,40.618,17.424,0.999,4.13,"139_138: 0.97
139_140: 0.998"
140,33.561,5.394,0.82,4.458,"140_139: 0.998
140_141: 0.998
140_153: 0.985"
141,64.453,28.963,0.999,4.111,"141_140: 0.998
141_142: 0.99"
142,49.85,22.902,0.999,4.615,"142_129: 0.98
142_141: 0.99"
143,177.426,28.369,0.999,3.999,"143_144: 0.984"
144,56.907,19.034,0.999,4.362,"144_143: 0.984
144_145: 0.982"
145,59.202,63.001,0.999,3.953,"145_132: 0.968
145_144: 0.982
145_146: 0.974"
146,101.927,55.648,0.999,4.333,"146_145: 0.974
146_147: 0.93"
147,44.523,6.371,0.999,3.994,"147_146: 0.93
147_148: 0"
148,63.683,46.392,1,4.382,"148_147: 0
148_149: 0.97"
149,138.511,30.739,0.999,3.954,"149_136: 0.96
149_148: 0.97
149_150: 0.983"
150,123.795,9.223,0.998,4.478,"150_149: 0.983
150_151: 0.986"
151,138.532,32.819,0.999,4.016,"151_150: 0.986
151_152: 0.989"
152,73.49,66.697,0.998,4.414,"152_151: 0.989
152_153: 0.979"
153,132.089,60.608,0.999,3.931,"153_140: 0.985
153_152: 0.979
153_154: 0.985"
154,72.696,11.547,0.999,4.469,"154_153: 0.985
154_155: 0.97"
155,64.48,14.067,0.999,4.043,"155_154: 0.97"
